rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested,live_errors
1,6035,agentrq/agentrq,AgentRQ,https://github.com/agentrq/agentrq,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A shared task workspace for humans and agents with MCP, schedules, and approvals.",团队可派发任务、实时同步状态并处理敏感操作许可。,"ai-native, collaboration, project-management",allow_all_commands可改变边界；工作完成仍需验收。,READMEhuman-agent board、事件流、Slack多租户。,1123,2026-09-21T16:23:07.472032+00:00,1123,False,2026-09-21T15:33:09Z,Apache-2.0,https://github.com/agentrq/agentrq/blob/main/README.md,ad3c1c6c83681852a699358ef729517c045ef68049a85cbb5f3e923cf0b75832,https://github.com/agentrq/agentrq/blob/main/LICENSE,a13a5a8ba275a7a6e3f2c573399869286ddb3b6ea5256c213aeff67f6739cbdc,False,
2,6078,manaflow-ai/manaflow,Manaflow,https://github.com/manaflow-ai/manaflow,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A coding-agent workspace with parallel sandboxes, live previews, and PR review.",研发团队可把代理输出转为可查看diff和CI的PR。,"ai-native, coding, sandbox",Linuxbeta、Windows待支持；多会话不代表多人权限。,README云/本地Docker、VSCode、PR和CI状态。,1113,,,,,,,,,,False,
3,6096,ZJU-REAL/HugAgentOS,HugAgentOS,https://github.com/ZJU-REAL/HugAgentOS,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A self-hosted agent workspace with knowledge, tools, memory, and automation.",团队可评估企业部署底座与组织版扩展。,"ai-native, workspace, self-hosted",社区是个人workspace；团队权限/SSO/协作/审计属Enterprise，本体Apache附品牌条件。,README Community/Enterprise对照。,1110,,,,,,,,,,False,
4,6236,marcus/sidecar,Sidecar,https://github.com/marcus/sidecar,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A terminal workspace combining coding agents, tasks, diffs, and issue integrations.",开发者可围绕团队任务/PR统一审阅与工作目录管理。,"ai-native, coding, developer-tools",本地个人界面，不证明多人同步；文首命令仅作资料未执行。,README td、Jira/GitHub、diff与sessions。,1076,,,,,,,,,,False,
5,6368,superdoc/docx-editor,SuperDoc,https://github.com/superdoc/docx-editor,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A DOCX document engine with collaborative editing and agent-accessible APIs.,团队与代理可在同一文档中评论、建议和追踪修改。,"collaboration, document-editing, agent-tools",DOCX 协作编辑器及 SDK/MCP，AGPL/商业双许可；需应用身份和同步服务集成，转工程组件。,README OOXML、Yjs协作、serverautomation。,1048,2026-09-21T16:23:07.472546+00:00,1049,False,2026-09-21T03:25:11Z,AGPL-3.0,https://github.com/superdoc/docx-editor/blob/main/README.md,8931cad8825f841df292be76f7b425361a57c2ab50ecc52305ed60d43b26ca18,https://github.com/superdoc/docx-editor/blob/main/LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,False,
6,68,paperclipai/paperclip,Paperclip,https://github.com/paperclipai/paperclip,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"An agent operations platform with tasks, human approvals, budgets, and organization-scoped activity tracking.",支持多个真人用户，按组织管理任务、审批、智能体角色和费用；保留执行记录便于负责人监督。,"ai-native, governance, workflow, self-hosted",这里有明确真人用户证据，不只是 AI 组织图；不保证其预算和隔离宣传已经过独立测试。,README L91-95、L169-173、L242、L273、L456-462,81142,2026-09-21T16:23:07.472609+00:00,81184,False,2026-09-21T16:19:27Z,MIT,https://github.com/paperclipai/paperclip/blob/master/README.md,e534958eedeeeb641c980e2a2b5e23143743f83bdf5a2866b2697a46944263aa,https://github.com/paperclipai/paperclip/blob/master/LICENSE,7f8a27f0979bded50e240caa8c8c29f3088ddf87032cb83e5a9732bff91d18b4,False,
7,71,opendatalab/MinerU,MinerU,https://github.com/opendatalab/MinerU,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Document parsing and structured extraction tools for building searchable knowledge and AI application inputs.,将团队 PDF、Office 和图片资料转为统一结构及可追溯页块引用，接入共享知识库的数据处理链。,"documents, data, rag, development",是解析组件，不是多人知识协作产品；MinerU 许可有 Apache 之外附加条件；不同格式和质量档能力不同。,README MinerU 4.0、Python SDK、License Information,80330,,,,,,,,,,False,
8,95,pbakaus/impeccable,Impeccable,https://github.com/pbakaus/impeccable,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Design guidance and review tools that persist product context and check AI-generated interfaces.,团队在仓库共享 PRODUCT.md、DESIGN.md 与检查配置，统一界面质量标准及迭代反馈。,"design, skills, quality",规则检测和 LLM 评审能力不同；不是多人设计画布，未实测视觉效果。,README L13-34、L123、L427、License,69402,,,,,,,,,,False,
9,96,cline/cline,Cline,https://github.com/cline/cline,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A coding agent with plan-and-act workflows, human approval, and extensible tool and lifecycle hooks.",开发者先审计划和变更，再接入团队的日志、审计或自定义策略插件，支持可控 AI 开发。,"coding, human-in-the-loop, development",Multi-Agent Teams 指智能体协作，不是真人组织权限；自动批准可改变人工控制边界。,README L77-78、L144、L169、L187-193,68893,,,,,,,,,,False,
10,115,sansan0/TrendRadar,TrendRadar,https://github.com/sansan0/TrendRadar,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A configurable news monitor that uses AI to filter and summarize updates and deliver them to team channels.,将同一主题的筛选结果和分析推送到 Slack、飞书、钉钉或企微，形成团队共享情报简报。,"research, automation, notifications, self-hosted",频道推送不等于多人协作工作区；模型、数据源和通知渠道需配置，未实测。,README AI 筛选/分析、L626-629、L834、Slack 推送说明,62444,,,,,,,,,,False,
11,117,pathwaycom/pathway,Pathway,https://github.com/pathwaycom/pathway,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Incremental data pipelines that keep AI retrieval indexes synchronized with changing organizational sources.,同步 Drive、SharePoint、数据库等共享资料的变化，让团队应用使用持续更新的知识而非手动重建索引。,"data, rag, development",BSL 1.1 源码可见；exactly-once 和部分分布式部署属 Enterprise；不宣称源系统权限自动继承。,README L47-55、L82-101、L284-286,62253,,,,,,,,,,False,
12,128,zylon-ai/private-gpt,PrivateGPT,https://github.com/zylon-ai/private-gpt,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"An API layer for private AI applications with document ingestion, cited retrieval, and tool integration.",工程团队可共享一个私有 AI 应用后端，复用文档接入、引用检索和工具集成能力。,"rag, development, self-hosted",不运行模型；RBAC、企业连接器、审计和终端用户工作区属于 Zylon，不属于 PrivateGPT API。,README L18-33、L37-45、PrivateGPT vs Zylon L241-266,57520,,,,,,,,,,False,
13,139,bmad-code-org/BMAD-METHOD,BMad Method,https://github.com/bmad-code-org/BMAD-METHOD,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"An AI-assisted delivery method that carries explicit decisions, specifications, and architecture through implementation and review.",通过可共享的 brief、规格和架构文档串起产品、设计、开发与测试，保留决策上下文。,"specifications, workflow, skills",方法和技能集合，角色讨论不等于真人协作后台；额外模块独立。,README L8-14、L64-66,53282,,,,,,,,,,False,
14,154,GokuMohandas/Made-With-ML,Made With ML,https://github.com/GokuMohandas/Made-With-ML,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Practical guidance for designing, testing, deploying, and maintaining machine-learning applications.",把 ML 与软件工程实践结合，展示实验追踪与部署流程，并说明团队集中共享实验记录的方式。,"learning, mlops, practices",教程不是成品平台；实验默认本地，团队 MLflow 服务器需另外部署。,README Lessons、实验追踪说明 L241,49564,,,,,,,,,,False,
15,198,PatrickJS/awesome-cursorrules,Awesome Cursor Rules,https://github.com/PatrickJS/awesome-cursorrules,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Reusable project rules that align coding-agent output with shared engineering conventions.,把命名、框架、测试和审查要求提交到共享 .cursor/rules，供贡献者的 AI 使用同一套规范。,"standards, coding, prompts",规则资源集，不保证模型严格遵守；赞助商知识功能不是本项目能力。,README L12-14、L58-62,40803,,,,,,,,,,False,
16,283,conductor-oss/conductor,Conductor,https://github.com/conductor-oss/conductor,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Durable workflow orchestration for agents with human approvals, retries, recovery, and inspectable execution history.",研发和运营把 AI 步骤与人工审批接起来，长任务可暂停恢复，并追踪运行状态和责任边界。,"workflow, human-in-the-loop, operations",Apache OSS 与 Orkes 企业服务分开；需开发 workers，并非所有业务开箱即用。,README L23、L81-93、FAQ L324-372,32212,,,,,,,,,,False,
