rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
1,2683,kite-org/kite,Kite,https://github.com/kite-org/kite,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,A Kubernetes workspace with access controls and AI-assisted troubleshooting.,运维团队按集群权限共享监控与排错，人工确认代理写操作并保留审计。,"operations, teams",默认清单给 cluster-admin，chart 为评估配置；不能称默认生产最小权限。,README L9、28–45、68、92：多集群、认证、RBAC 与部署边界。,3138,2026-09-22T06:19:55.417867+00:00,3139,False,2026-09-20T16:05:09Z,Apache-2.0,https://github.com/kite-org/kite/blob/main/README.md,8de1948452bdc44e5c1dc36fbbd18bac6f5a9bf00af0222a557c15e5b11b7fad,https://github.com/kite-org/kite/blob/main/LICENSE,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,False
2,245,gitroomhq/postiz-app,Postiz,https://github.com/gitroomhq/postiz-app,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A social publishing platform with AI-assisted content workflows, shared scheduling, and team comments.",营销成员在同一平台协作、评论和排期，结合 AI 与 API 自动化完成内容交接。,"marketing, collaboration, automation, self-hosted",具体 AI 创作能力需查功能文档，不从标题扩展；托管与自建等价仅按此次 README 声明。,README Intro L94-101,36108,2026-09-22T06:19:55.432930+00:00,36170,False,2026-09-22T04:56:08Z,AGPL-3.0,https://github.com/gitroomhq/postiz-app/blob/main/README.md,9f78ae6fb224f6375e26a26998b70c4e3484625ccdbca9674838546d637ef6d4,https://github.com/gitroomhq/postiz-app/blob/main/LICENSE,d322fb1066693d8ed25495d11029f443aa793316852749e1389773c1946251b3,False
3,1672,HKUDS/ClawTeam,ClawTeam,https://github.com/HKUDS/ClawTeam,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"Coordinate CLI agents with shared tasks, worktrees, and multi-user namespaces.",多个真人可共享一个代理团队，通过命名空间区分成员并追踪任务。,"agents, teams",多用户命名空间不等于完整身份鉴权；自动研究效果未验证。,README L191、615、781：隔离 worktree、多用户及已交付状态。,5539,2026-09-22T06:19:55.435809+00:00,5541,False,2026-05-09T07:25:56Z,MIT,https://github.com/HKUDS/ClawTeam/blob/main/README.md,1964607bcb309d35fa65cfd6c97e18b0ff1e7be2b16cf863fafa3f6cc71a07b3,https://github.com/HKUDS/ClawTeam/blob/main/LICENSE,804ee173a7f604efd7d4932d94f1c7fdbac7f2f2770aa3007ecc7670ea76fd35,False
4,6072,allenpeng0705/EnvoyMesh,EnvoyMesh,https://github.com/allenpeng0705/EnvoyMesh,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,A peer-to-peer human and agent network with opt-in team jobs and scoped identities.,团队可按签名名册/邀请连接代理并交接复合任务。,"ai-native, collaboration, agent-communication",安全效果未测；共享模型与个人历史隔离需部署核查。,READMEfleet onboarding、opt-in bonds、audit与成员数据隔离。,1114,,,,,,,,,,False
5,1340,AIPentest/CyberStrikeAI,CyberStrikeAI,https://github.com/AIPentest/CyberStrikeAI,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"An AI security workspace with approvals, roles, and retained evidence.",安全团队管理授权测试任务、角色、人工审批与审计证据。,"ai-native, security, teams",仅核验文档所述能力，未验证权限隔离与检测效果。,README L12、126–131：工作区、RBAC、审批和日志。,6962,2026-09-22T06:19:59.147446+00:00,6996,False,2026-09-22T02:44:57Z,Apache-2.0,https://github.com/AIPentest/CyberStrikeAI/blob/main/README.md,d5867781aa64bcc3f1ede774609127526a1f3cbcd9152dd6b17d65abd52b225f,https://github.com/AIPentest/CyberStrikeAI/blob/main/LICENSE,c5e886b33279f16172f906d2ec7fb23425b816c8a63b684159daa77628256f76,False
6,421,vxcontrol/pentagi,PentAGI,https://github.com/vxcontrol/pentagi,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"An AI security-testing platform with persistent investigation context, execution monitoring, and multi-user access.",安全团队管理用户、记录调查结果并观察测试过程，成员令牌继承角色权限以交接工作。,"security, testing, observability",只核验平台范围，未执行测试；不背书完全隔离、AGI 或自动发现效果。,README Features、multi-user L863、token permissions L1142,24795,2026-09-22T06:19:59.178444+00:00,24844,False,2026-09-10T05:45:01Z,MIT,https://github.com/vxcontrol/pentagi/blob/main/README.md,f91792dc299570b8c4680621b4fc7da9b513567814ded613ee4a6513f0142f08,https://github.com/vxcontrol/pentagi/blob/main/LICENSE,8faba2b47ad7f593df409ac0c145bb55421edd45b72324df868d2178d5c617c7,False
7,2025,jupyterlab/jupyter-ai,Jupyter AI,https://github.com/jupyterlab/jupyter-ai,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,Connect AI agents and collaborative notebook workflows inside JupyterLab.,同一服务器上的成员可实时协作，向智能体传递单元格并审批文件和命令操作。,"notebooks, collaboration",仍处 JupyterLab 孵化期；代理及服务依赖另装。,完整 README L7–13、25：ACP、MCP、多人协作与权限。,4406,2026-09-22T06:19:59.267372+00:00,4406,False,2026-09-22T06:04:07Z,BSD-3-Clause,https://github.com/jupyterlab/jupyter-ai/blob/main/README.md,bd69c600c4e2a05e8ea2be93990642976dd944a514b29ad0b92e26f51ce1c997,https://github.com/jupyterlab/jupyter-ai/blob/main/LICENSE,a0be5735cdce31dd4396d20d1f446be7d2ac5abe94c39a10a437f3d6c8ccc1c2,False
8,2089,SwanHubX/SwanLab,SwanLab,https://github.com/SwanHubX/SwanLab,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,Track AI experiments and share training results across teams.,成员在共同项目查看实验、比较参数并分享持久链接和讨论结果。,"mlops, collaboration",本仓库 SDK 与云端/自托管平台边界须区分，未测试各部署版权限。,README L180–182、224–226、544–545：训练分析与多人协作。,4223,2026-09-22T06:20:01.683945+00:00,4223,False,2026-09-22T04:26:43Z,Apache-2.0,https://github.com/SwanHubX/SwanLab/blob/main/README.md,b03209f27eb5915e2b2ea12b490ebfc20b774551665de120cccdb22ff15a7754,https://github.com/SwanHubX/SwanLab/blob/main/LICENSE,298f13ad08641bf02c1ee83bace23b542b505a0ceeac225bfc57317249e284f8,False
9,5137,thalesgroup-cert/Watcher,Watcher,https://github.com/thalesgroup-cert/Watcher,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A threat-intelligence platform with AI summaries, monitoring, and team access controls.",安全团队共享告警、IOC 和情报分析，并与 TheHive/MISP 协作。,"ai-assisted, security, threat-intelligence, collaboration",依赖外部源/模型；自动情报不保证完整或准确。,README AI digests、watch rules、OIDC/LDAP 和用户群组权限。,1383,2026-09-22T06:20:01.770638+00:00,1383,False,2026-09-16T13:33:06Z,AGPL-3.0,https://github.com/thalesgroup-cert/Watcher/blob/master/README.md,627be072302451e3f914224dbdc6226446b3b031b7a31cbe09ac8d7e781776f3,https://github.com/thalesgroup-cert/Watcher/blob/master/LICENSE,8d56b405468aad11f87ab5763f901e276e08d9646ff5c8481b1762b6b789e9ed,False
10,5347,xun082/DocFlow,DocFlow,https://github.com/xun082/DocFlow,建议审阅,团队使用证据明确，已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A collaborative document editor combining real-time co-editing with AI brainstorming, rewriting, and continuation.",多人同步编辑、成员光标和历史版本，AI 帮团队起草产品规划、技术方案和会议文档。,"collaboration, documents, knowledge, self-hosted",跨文档私有知识库、自主 Agent、侧边栏群聊及音视频属于未来计划，不能写成已支持；未实测。,README 简介、核心特性、AI 聊天、协同编辑及未来计划,1318,2026-09-22T06:20:02.503131+00:00,1318,False,2026-03-27T03:18:29Z,MIT,https://github.com/xun082/DocFlow/blob/main/README.md,506f7dca979493978b3f186307ff47c71f0e2e74f4b36b257ccb0b293c96f670,https://github.com/xun082/DocFlow/blob/main/LICENSE.md,2a39c3694f72cb4e306ecc145907f6b84910840ab68e82dfd9638c4990ebdf19,False
