rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested,reviewed_result,reviewed_basis
1,2056,kirodotdev/Kiro,Kiro,https://github.com/kirodotdev/Kiro,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目。,An agentic development platform with specifications and organizational controls.,团队共享规格、项目规则与权限，通过组织身份和用量治理推广 AI 开发。,"coding, teams",该仓库是问题跟踪器，不含 Kiro 产品源码；各入口成熟度不同。,README L8、19、29、46–47：平台定位、仓库性质与企业治理。,4322,,,,,,,,,,False,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目。
2,4827,traycerai/traycer,Traycer,https://github.com/traycerai/traycer,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"An agent-orchestration app with shared boards, real-time editing, and team collaboration.",明确允许邀请成员进入共同工作区、共享看板和任务分配。,"ai-native, collaboration, coding",Privacy Mode 团队默认开、个人可选；服务方案与 MIT 客户端边界需区分。,README Collaboration、shareable boards、co-edit 与跨设备。,1502,2026-09-22T06:52:08.536315+00:00,1506,False,2026-09-22T04:27:27Z,MIT,https://github.com/traycerai/traycer/blob/main/README.md,6d5981e3fb12eff94320584464d5f1f70f6e91156a40f1092afedb326a9959fd,https://github.com/traycerai/traycer/blob/main/LICENSE,2cd0326a35e707bc95d137c1f52cfd18ef91e4b025f3d4fa51cc2070033c0425,False,建议审阅,MIT；README 明确邀请成员、共享看板、实时编辑和任务分配。
3,641,coder/coder,Coder,https://github.com/coder/coder,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,Self-hosted development workspaces and coding-agent infrastructure with centralized identity and model controls.,平台团队统一开发环境、成员身份、AI 模型接入和费用审计，让同事委派任务时复用受控基础设施。,"coding, infrastructure, governance, self-hosted",高级团队功能含 Premium，不宣称全部开源免费；需部署数据库和运行基础设施。,README L35-44、AI Gateway/Premium 入口,16077,2026-09-22T06:52:08.536744+00:00,16518,False,2026-09-22T06:41:57Z,AGPL-3.0,https://github.com/coder/coder/blob/main/README.md,73cef0dadba0644af80a0c31619000df414fd75222a7e9863d951f304431daa9,https://github.com/coder/coder/blob/main/LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,False,商业功能边界,AGPL 核心；Premium 与 AI Gateway 等团队治理功能需要按方案区分。
4,5592,heymrun/heym,Heym,https://github.com/heymrun/heym,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"A self-hosted agent platform with workflows, evaluations, approvals, and team sharing.",团队可共同维护流程、文件和dashboard，接企业OIDC并审阅执行。,"ai-native, collaboration, workflow, self-hosted",MIT加Commons Clause，属于source-available，受限制商业销售需另授权；worker本地存储依赖与安全边界需验证。,README team access、Drive sharing、SSO、eval与approval。,1237,2026-09-22T06:52:08.537010+00:00,1245,False,2026-09-21T18:26:11Z,NOASSERTION,https://github.com/heymrun/heym/blob/main/README.md,eb8095dd2655b5c60bb1fdd30cc806ca2b53e889d464184d9b9f5bb5b3e07cfb,https://github.com/heymrun/heym/blob/main/LICENSE,b7ad45524c47d7a81286b41f6ad9f016cfde3a9ba269945c0718f77d793f7d3b,False,附加许可边界,README 标 MIT，但 Commons Clause 限制商业销售，GitHub API 返回 NOASSERTION。
5,142,CherryHQ/cherry-studio,Cherry Studio Enterprise,https://github.com/CherryHQ/cherry-studio,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"A privately deployable AI workspace with centralized model access, shared knowledge bases, and employee permissions.",管理员统一分配模型和知识库权限，员工共用团队知识和配置，支持集中运维。,"chat, knowledge, governance",团队后台为商业企业版，仅部分源码向客户提供；AGPL 社区桌面版不包含这些后台能力。,README Enterprise Edition L195-224,52028,2026-09-22T06:52:11.527372+00:00,52063,False,2026-09-22T05:57:39Z,AGPL-3.0,https://github.com/CherryHQ/cherry-studio/blob/main/README.md,e775f21999c1bf39e7b7dcf00bedb693c5cd28d0f059bd153fdaf18535b52ef4,https://github.com/CherryHQ/cherry-studio/blob/main/LICENSE,0d96a4ff68ad6d4b6f1f30f713b18d5184912ba8dd389f86aa7710db079abcb0,False,商业版团队功能,社区版 AGPL；团队后台、共享知识库和员工权限属于 Enterprise Edition。
6,1823,campfirein/byterover-cli,ByteRover CLI,https://github.com/campfirein/byterover-cli,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,Version and curate agent context with optional team synchronization.,团队审查知识变更、分支合并上下文，并在成员间共享项目经验。,"memory, collaboration",默认本地，成员权限与共享空间由 Cloud 提供；Elastic License 2.0。,README L23、35–40、107–121：上下文版本和云团队空间。,4966,2026-09-22T06:52:12.080215+00:00,4964,False,2026-06-25T17:00:57Z,NOASSERTION,https://github.com/campfirein/byterover-cli/blob/main/README.md,57ca305e6681f817d45b87db7ecacb1cdd9841b748782e3ff162624585343d17,https://github.com/campfirein/byterover-cli/blob/main/LICENSE,99cea22154caece32dde4ee3124d0b6ad44a0f9baab9841889841a567245ab1f,False,Elastic 许可 / Cloud,团队共享空间和成员权限来自 Cloud；CLI 根许可证为 Elastic License 2.0。
7,2427,onecli/onecli,OneCLI,https://github.com/onecli/onecli,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"An employee-agent platform with sandboxed runtimes, shared policy, approval workflows, and credential gateways.",每名员工配一个智能体，团队统一控制工具权限、共享连接和人工审批，从 Slack 或工作台使用。,"ai-native, governance, agents, self-hosted",普通代码 Apache-2.0，ee 目录生产使用需企业订阅；具体 IdP 等功能分界需按目录确认，不写全量免费。,README L42、L61-98、L119-127；LICENSE-ENTERPRISE,3495,2026-09-22T06:52:13.306066+00:00,3498,False,2026-09-14T01:15:27Z,Apache-2.0,https://github.com/onecli/onecli/blob/main/README.md,d372b10c290753ab8d759d7d2e57e2245c4dd57e88d329896278d664250ab867,https://github.com/onecli/onecli/blob/main/LICENSE,bc090ec9616ed6001d6d73e9e4cc968a5db3dfc940edbe7fdb20d232058f988e,False,EE 功能边界,Apache 核心与 ee 目录企业订阅功能分开。
8,3324,spacedriveapp/spacebot,Spacebot,https://github.com/spacedriveapp/spacebot,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,"Run shared agent conversations, memory, and approved tasks across team channels.",团队在 Slack/Discord 等并发协作，共享上下文并通过持久审批监督后台任务。,"ai-native, teams",FSL 两年后转 Apache，当前非宽松开源；跨渠道记忆与权限隔离未实测。,README L45、61–71、140–144、218、434：真人并发、审批和许可。,2399,2026-09-22T06:52:15.492364+00:00,2399,False,2026-08-18T00:55:49Z,NOASSERTION,https://github.com/spacedriveapp/spacebot/blob/main/README.md,7933c4134a5a11be476a927c84c08eddf2ad2a3e265ac3434e15c4f4ce25c8c9,https://github.com/spacedriveapp/spacebot/blob/main/LICENSE,8f7e0789b4c1b6f0da75327016704ab930e2819a6d0151e0f37f56a992725b5e,False,许可待确认,README 明确团队协作和审批，但根许可证 API 返回 NOASSERTION。
9,4266,open-mercato/open-mercato,Open Mercato,https://github.com/open-mercato/open-mercato,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,A business-application framework with AI development workflows and permission-scoped assistants.,团队共享业务架构、规格、review 流程，业务助手写操作由审批卡控制。,"ai-native, enterprise-platform, crm, governance",具体模块及隔离需部署验证；通用技能另仓，不能把宣传效率当实测。,README CRM/ERP、组织 RBAC、架构技能与 scoped AI assistants。,1756,2026-09-22T06:52:16.243314+00:00,1763,False,2026-09-21T22:22:02Z,MIT,https://github.com/open-mercato/open-mercato/blob/main/README.md,b3bc6bb769df0ddf91c4e762b109dfee19451cb64f0e96e55f9d12fb14ed17f3,https://github.com/open-mercato/open-mercato/blob/main/LICENSE,3548f649fe91fe8bd8f7590194a5eb9506c08dab54e4c6c4a011064dfda66606,False,企业包边界,核心 MIT；MFA、SSO/SCIM、记录锁和 Agent Orchestrator 位于商业 Enterprise 包。
10,5085,preset-io/agor,Agor,https://github.com/preset-io/agor,重点待官方补查,团队功能和许可边界值得优先核验；本批尚未联网补查，不作为建议收录结论。,A self-hosted workspace for running coding agents on isolated branches with shared sessions and project knowledge.,实时光标、评论、共享会话和环境；分支权限、个人凭据、费用记录和共享知识库。,"ai-native, collaboration, coding, self-hosted",README 明确 BSL 1.1 source-available，当前不能标为 OSI 开源；未部署实测。,README L7-12、L60-78、L125-131、L285-298,1406,2026-09-22T06:52:17.728119+00:00,1406,False,2026-09-22T06:30:49Z,NOASSERTION,https://github.com/preset-io/agor/blob/main/README.md,763c393adc5bf1f7f6ddea4511f20422b25669b52b8cacf5496e0fe1ffd1ddd6,https://github.com/preset-io/agor/blob/main/LICENSE,6cb153a14f9836263c2d972b8a9d903f89f2dd539ed79b8f9f67735c0e556b6c,False,BSL / source-available,README 与 LICENSE 明确 BSL 1.1，当前不能标为 OSI 开源。
