id,repository,url,stars_snapshot,metadata_decision,metadata_reason,metadata_review_basis,source_status,source_review_basis,source_reviewed_at,tested,team_reason,limitations,evidence,source_url,source_sha256,additional_source,related_id
1,openclaw/openclaw,https://github.com/openclaw/openclaw,390159,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2,obra/superpowers,https://github.com/obra/superpowers,289295,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 流程与技能清单段落,2026-09-21T04:41:35.890538+00:00,False,将设计确认、计划、测试和审查写成可复用工作规范，减少同事使用不同 AI 编码方式带来的交接差异。,技能和开发方法集合，不是多人协作平台；具体流程应按团队规则调整。,README L37-46、L307-321、L339-364,https://raw.githubusercontent.com/obra/superpowers/HEAD/README.md,04fd40756d26d5f2132ddfbc5c3c35335b02bb456197308975f9d12eaa522382,,
3,mattpocock/skills,https://github.com/mattpocock/skills,266486,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 工程方法及 Reference 段落,2026-09-21T04:41:35.890612+00:00,False,共享 CONTEXT.md 和 ADR，统一领域术语；把讨论转为规格、工单及依赖关系，支持团队交接。,作者的可定制技能集，不提供组织账号和协作后台；不同安装方式可编辑性不同。,README L95-156、L184-200,https://raw.githubusercontent.com/mattpocock/skills/HEAD/README.md,4079d981bc2ac0a52aaf2c76d1c1476f4297937a8ff3a2e2322b6b730dc2d4f6,,
4,affaan-m/ECC,https://github.com/affaan-m/ECC,263782,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 产品介绍、团队记忆及平台支持边界段落,2026-09-21T04:41:35.890614+00:00,False,统一开发规则、审查流程和团队版本化记忆，便于跨工具交接上下文。,不同运行时功能不等价；开源仓库与付费 ECC Pro GitHub App 分开；未测试规则效果。,README L127-150、L1194-1240、L139、L1519,https://raw.githubusercontent.com/affaan-m/ECC/HEAD/README.md,4af0d3294957ba7ee0b2f7ee43cff5ae647f128de0c2b92573da825a25710e78,,
5,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,247486,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
6,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,231274,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 全文,2026-09-21T04:41:35.890615+00:00,False,可用插件统一工程环境，但 README 未证明多人协作、共享状态或团队治理机制。,开发者预览，明确可能发生破坏性兼容变更；作为通用 agent runtime 备选。,README Developer preview、Run、License,https://raw.githubusercontent.com/deepseek-ai/deepseek-harness/HEAD/README.md,b43a2af65d10028e5de61e4603f946bfce9b777df079e92745491c7700a6d58e,,
7,multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,214350,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 全部功能和配置正文,2026-09-21T04:41:35.890617+00:00,False,可提交到团队仓库统一 AI 编码准则，但只是四原则规则文件，与已有规则资源重叠较多。,非 Karpathy 官方项目；不是 Multica 平台；暂列补充资源，不优先新增。,README Four Principles、Using with Cursor、Customization,https://raw.githubusercontent.com/multica-ai/andrej-karpathy-skills/HEAD/README.md,daf314efb31894b86d68b67786c820bd8470bb2126e578ba9cd0e3e2667883f8,,
8,anomalyco/opencode,https://github.com/anomalyco/opencode,208893,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
9,n8n-io/n8n,https://github.com/n8n-io/n8n,205479,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
10,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,200220,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
