batch,rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,source_url,source_sha256,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,live_errors,tested
004,1,6366,mosaico-labs/mosaico,Mosaico,https://github.com/mosaico-labs/mosaico,工程组件另列,主要提供 SDK、协议、运行时、数据或工具集成能力；适合工程组件栏目，不作为即用团队产品优先推荐。,A robotics data platform organizing sensor logs into immutable queryable archives.,机器人团队可共享结构化数据与血缘。,"robotics, data-management, ai-infrastructure",零拷贝/查询性能未测，不是代理管理平台。,README typedontology、SDK/backend、immutable layers。,https://raw.githubusercontent.com/mosaico-labs/mosaico/HEAD/README.md,cbe962714eb94a5746a95b95ce686b18902a6941900f9af722abf83670753b26,1048,,,,,,,,,,,False
004,2,6371,OpenBMB/RepoAgent,RepoAgent,https://github.com/OpenBMB/RepoAgent,团队直接性不足,现有证据主要支持个人工作、代理编排或产物交接，尚不足以优先推荐为真人团队协作产品；并非永久排除。,An LLM tool for repository-level documentation generation and updates.,研发团队可用Git变更和precommit维护共享代码说明。,"ai-native, documentation, developer-tools",模型说明需复核，不保证无漂移。,README AST对象、调用关系和team文档更新。,https://raw.githubusercontent.com/OpenBMB/RepoAgent/HEAD/README.md,303a6163e318726aa5bcb2adcdd19b6f3640feab1213faab34826fb0300bc1cc,1047,,,,,,,,,,,False
004,3,6445,ClaytonFarr/ralph-playbook,Ralph Playbook,https://github.com/ClaytonFarr/ralph-playbook,方法技能另列,主要通过共享规则、学习材料、模板或工程实践服务团队；单列资料栏目，不作为多人产品优先推荐。,A practical guide to spec-driven coding-agent loops and persistent plans.,团队可共享规格、计划和验证习惯。,"ai-native, team-practices, workflow",方法指南非运行安全层，示例跳过权限需沙箱。,README阶段/loop、文件state和team adoption。,https://raw.githubusercontent.com/ClaytonFarr/ralph-playbook/HEAD/README.md,bc676be7ae83628e03c0b6356308b18133f43553b6a065997d047047745a26c0,1033,,,,,,,,,,,False
004,4,6448,beizhu-1209/AIHelms,AIHelms,https://github.com/beizhu-1209/AIHelms,建议审阅,团队用途有明确官方依据，已补查仓库状态、README 和根许可证，供用户决定是否收录。,"An enterprise AI-resource platform with identity, budgets, cost attribution, and tool distribution.",组织按人/部门/项目管理模型额度和技能审批。,"enterprise-ai, governance, cost-management",GPL/商业许可；A2A协作仍规划。,README成本双轨、soft/hardbudget、Skill/MCP与身份。,https://raw.githubusercontent.com/beizhu-1209/AIHelms/HEAD/README.md,4ee2276f6280ef8a5875afb44179142cfb31651cb05566bba2004c01609817b7,1032,2026-09-21T16:27:24.012966+00:00,1032,False,2026-09-10T10:50:20Z,GPL-3.0,https://github.com/beizhu-1209/AIHelms/blob/main/README.md,4ee2276f6280ef8a5875afb44179142cfb31651cb05566bba2004c01609817b7,https://github.com/beizhu-1209/AIHelms/blob/main/LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,,False
004,5,6472,wangziqi06/724-office,7/24 Office,https://github.com/wangziqi06/724-office,团队直接性不足,现有证据主要支持个人工作、代理编排或产物交接，尚不足以优先推荐为真人团队协作产品；并非永久排除。,A persistent messaging agent with group conversations and task controls.,团队可通过企微群共享工作入口和定时任务。,"ai-native, chatops, automation",Python/Node两代能力不同，生产24/7为自述；后继偏个人。,README groupcontainer、budget/circuit与Node后继。,https://raw.githubusercontent.com/wangziqi06/724-office/HEAD/README.md,8652322aab9afa24faf9b4dbbe448a40b5335a10a2dc34c3ae85fd2d1cd1b503,1024,,,,,,,,,,,False
004,6,6470,SeanJ1ang/design-judge-skills,Design Judge Skills,https://github.com/SeanJ1ang/design-judge-skills,方法技能另列,主要通过共享规则、学习材料、模板或工程实践服务团队；单列资料栏目，不作为多人产品优先推荐。,Evidence-oriented workflows for design evaluation and award submissions.,设计团队可共享案例核验、申报准备和终检。,"ai-native, skills, design",部分Beta，命中率自测不保证获奖，须核实官方规则。,README来源评分、awardmatch和六流程。,https://raw.githubusercontent.com/SeanJ1ang/design-judge-skills/HEAD/README.md,791b7f4b4425090c8d700fe8ce9e6529668a728ae36d44246bee43a6fecf9b96,1024,,,,,,,,,,,False
004,7,6491,SafeAI-Lab-X/ClawKeeper,ClawKeeper,https://github.com/SafeAI-Lab-X/ClawKeeper,工程组件另列,主要提供 SDK、协议、运行时、数据或工具集成能力；适合工程组件栏目，不作为即用团队产品优先推荐。,Host-independent tool guards and result scanning for agent runtimes.,平台团队可复用执行前判断与审计接口。,"ai-native, security, middleware",可选外部Watcher增加模型依赖，拦截覆盖未测。,README JudgeAPI、Watcher、redaction和learnedpatterns。,https://raw.githubusercontent.com/SafeAI-Lab-X/ClawKeeper/HEAD/README.md,cec208c734e6e21edeadf225c76db8256eaaa21bb9d92c79b1c942d75ffd9d12,1021,,,,,,,,,,,False
004,8,6490,raroque/vibe-security-skill,Vibe Security Skill,https://github.com/raroque/vibe-security-skill,方法技能另列,主要通过共享规则、学习材料、模板或工程实践服务团队；单列资料栏目，不作为多人产品优先推荐。,A review skill targeting common security mistakes in AI-assisted applications.,团队可共享按技术栈加载的安全检查。,"ai-native, skills, security",提示审阅非无漏洞保证，未扫描。,README RLS、支付、密钥等规则。,https://raw.githubusercontent.com/raroque/vibe-security-skill/HEAD/README.md,78ddbc3ad6ce405ee42f023f7d3e73a171da0d3e6c6ba6c4fe828632289e52ef,1021,,,,,,,,,,,False
004,9,6544,helicalinsight/helicalinsight,Helical Insight,https://github.com/helicalinsight/helicalinsight,建议审阅,团队用途有明确官方依据，已补查仓库状态、README 和根许可证，供用户决定是否收录。,An embedded BI platform with AI chat analytics and user-scoped data controls.,团队可共享报表/仪表盘并按登录身份约束数据。,"ai-assisted, business-intelligence, collaboration",根 LICENSE 为 AGPL-3.0；SSO 与按登录身份限制数据有文档依据，但“所有企业能力免费”和高性能未逐功能部署验证。,READMEBYOLLM、row/column/table安全及SSO。,https://raw.githubusercontent.com/helicalinsight/helicalinsight/HEAD/README.md,6482ff77cc84fab9e9b87c223e6a6d279cd999e13e0afd5952fedb29075a6bfa,1009,2026-09-21T16:27:24.013282+00:00,1054,False,2026-09-16T04:52:12Z,AGPL-3.0,https://github.com/helicalinsight/helicalinsight/blob/master/README.md,6482ff77cc84fab9e9b87c223e6a6d279cd999e13e0afd5952fedb29075a6bfa,https://github.com/helicalinsight/helicalinsight/blob/master/LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,,False
004,10,6563,bytechefhq/bytechef,ByteChef,https://github.com/bytechefhq/bytechef,商业或许可边界待核,保留候选；采用前需厘清许可、版本、托管服务或功能范围，暂不进入主短名单。,An AI-agent and workflow platform with connectors and durable execution.,团队可复用业务集成、审批和可恢复任务。,"ai-native, workflow, integration",核心Apache，API发布/Git/关联审计属EE；skills/evals、SSO/高级RBAC仍开发中。,README agent steps、Atlas持久化和CE/EE表。,https://raw.githubusercontent.com/bytechefhq/bytechef/HEAD/README.md,e9c1f8e9315d92b818051d55acc7ff3d959c15a8ca0a2d18dc768b5e9fe29b68,1004,,,,,,,,,,,False
