id,repository,url,stars_snapshot,metadata_decision,source_status,review_stage,final_status,description_en,team_reason,limits_and_notes,tested
1,openclaw/openclaw,https://github.com/openclaw/openclaw,390159,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
2,obra/superpowers,https://github.com/obra/superpowers,289295,待README核验,candidate,team-second-pass,方法技能另列,"Reusable coding-agent workflows for design approval, implementation plans, testing, and review.",将设计确认、计划、测试和审查写成可复用工作规范，减少同事使用不同 AI 编码方式带来的交接差异。,将设计确认、计划、测试和审查写成可复用工作规范，减少同事使用不同 AI 编码方式带来的交接差异。 技能和开发方法集合，不是多人协作平台；具体流程应按团队规则调整。,False
3,mattpocock/skills,https://github.com/mattpocock/skills,266486,待README核验,candidate,team-second-pass,方法技能另列,"Composable engineering skills for documenting shared terminology, producing specifications, and creating actionable tickets.",共享 CONTEXT.md 和 ADR，统一领域术语；把讨论转为规格、工单及依赖关系，支持团队交接。,共享 CONTEXT.md 和 ADR，统一领域术语；把讨论转为规格、工单及依赖关系，支持团队交接。 作者的可定制技能集，不提供组织账号和协作后台；不同安装方式可编辑性不同。,False
4,affaan-m/ECC,https://github.com/affaan-m/ECC,263782,待README核验,candidate,team-second-pass,方法技能另列,"A coding-agent toolkit with reusable workflows, project rules, security checks, and portable memory.",统一开发规则、审查流程和团队版本化记忆，便于跨工具交接上下文。,统一开发规则、审查流程和团队版本化记忆，便于跨工具交接上下文。 不同运行时功能不等价；开源仓库与付费 ECC Pro GitHub App 分开；未测试规则效果。,False
5,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,247486,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
6,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,231274,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
7,multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,214350,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
8,anomalyco/opencode,https://github.com/anomalyco/opencode,208893,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
9,n8n-io/n8n,https://github.com/n8n-io/n8n,205479,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
10,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,200220,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
