rank,id,repository,name,url,decision,description_en,team_reason,tags,limitations,evidence,stars_snapshot,tested
1,5108,Devin-AXIS/deepseek-design,DeepSeek Design,https://github.com/Devin-AXIS/deepseek-design,商业/许可候选待确认,A visual design plugin for editable artifacts inside DeepSeek Harness.,设计研发团队可围绕真实文件修改原型/演示稿并继续交付。,"ai-native, design, prototyping",iPolloWork 第三方产品，source-available 非纯开源；不同插件能力独立。,README Studio 画布、选中对象 Ask AI、PDF/PPTX。,1400,False
2,5147,nlkitai/nlux,NLUX,https://github.com/nlkitai/nlux,工程组件另列,React and JavaScript components for conversational AI interfaces.,前端团队可复用聊天 UI、模型适配与应用模板。,"ai-native, ui-components, javascript",修改版 MPL2.0 附使用限制，不应当纯 MPL；模型后端需另接。,README conversational library、CLI starter 和 adapters。,1380,False
3,5284,specstoryai/getspecstory,SpecStory,https://github.com/specstoryai/getspecstory,商业/许可候选待确认,Tools for capturing coding conversations as searchable and shareable engineering knowledge.,团队可复用历史设计决策、解决方案和提炼技能。,"ai-native, knowledge-management, developer-tools",多人搜索与同步依赖Cloud，不等于本地工具全含；需注意会话内容范围。,README 本地history、可选Cloud团队搜索/分享/跨人resume。,1334,False
4,5305,shuyu-labs/AntSK,AntSK,https://github.com/shuyu-labs/AntSK,商业/许可候选待确认,A .NET AI knowledge-base and agent platform for private deployment.,C#团队可提供企业知识问答，并复用角色与私有部署能力。,"enterprise-ai, dotnet, rag, self-hosted",定制许可证保留品牌；特定多租户服务需商业授权；GraphRAG/高级Text2SQL/流程编排属Pro。,README Semantic/Kernel Memory、知识库、RBAC和API。,1327,False
5,5414,LiteLLM-Labs/litellm-agent-control-plane,LiteLLM Agent Control Plane,https://github.com/LiteLLM-Labs/litellm-agent-control-plane,工程组件另列,A unified interface for running agents across runtimes with sessions and schedules.,团队通过同一UI/API使用多个代理后端并复用会话。,"ai-native, agent-operations, control-plane",控制面依赖各runtime；不从access概述推断完整SSO/RBAC。,README oneUI、runtime API、access、session、cron和memory。,1293,False
6,5431,xtreme1-io/xtreme1,Xtreme1,https://github.com/xtreme1-io/xtreme1,工程组件另列,A multimodal training-data platform with assisted annotation and ontology management.,标注团队可统一类别体系、预标注和数据质量复核。,"annotation, multimodal, data-quality",RLHF为beta，企业版另行提供；标注精度未测。,README 2D/3D/融合数据、模型预标注、ontology与quality。,1290,False
7,5477,bug0inc/passmark,Passmark,https://github.com/bug0inc/passmark,工程组件另列,A Playwright library for natural-language regression tests and multi-model assertions.,QA团队可复用浏览器验收步骤和带AI总结的测试报告。,"ai-native, testing, browser-automation",FSL未来Apache，不是当前纯Apache；多模型一致不保证断言正确。,README caching、auto-healing、多模型断言及CUA可选。,1272,False
8,5490,pipeboard-co/meta-ads-mcp,Meta Ads MCP by Pipeboard,https://github.com/pipeboard-co/meta-ads-mcp,工程组件另列,An MCP integration for Meta advertising operations and performance analysis.,营销团队可统一查询广告数据和准备活动修改。,"ai-native, mcp, marketing",BSL1.1；其他四广告节点工具不全属本仓，托管服务条件独立，未执行广告修改。,README Meta工具、OAuth与write-confirmation。,1269,False
9,5521,yym68686/uni-api,uni-api,https://github.com/yym68686/uni-api,工程组件另列,"A configuration-driven LLM API gateway with routing, retries, and key-level controls.",工程团队可统一多模型入口及故障切换。,"llm-gateway, self-hosted, infrastructure",backend-only，用户计费前端属uni-api-web；不要混写为全栈团队门户。,README负载均衡、冷却、模型key权限。,1260,False
10,5628,bricks-cloud/BricksLLM,BricksLLM,https://github.com/bricks-cloud/BricksLLM,工程组件另列,"An LLM gateway with per-user limits, usage tracking, and request controls.",团队统一key分发、成本限制和模型调用观测。,"llm-gateway, governance, cost-management",托管dashboard另算；脱敏不保证无遗漏。,README组织/用户usage、PII、failover和limits。,1228,False
