rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
1,3026,snapotter-hq/SnapOtter,SnapOtter,https://github.com/snapotter-hq/SnapOtter,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A self-hosted file-processing platform with OCR, transcription, and local AI.",团队通过 UI/API 共用文档和多媒体处理流程，并接入 OIDC 登录。,"documents, automation",AGPLv3 与商业双许可；OIDC 登录已在文档列出，细粒度文档共享权限未实测；生产需替换默认演示配置。,README L19、42–50、179–182：工具、本地 AI、SSO 与许可。,2716,2026-09-21T16:20:36.766695+00:00,2718,False,2026-09-21T13:36:42Z,AGPL-3.0,https://github.com/snapotter-hq/SnapOtter/blob/main/README.md,981f39d18261971704a2448c3892615ba65f02d17b9fb7f51f2ab711a0420b95,https://github.com/snapotter-hq/SnapOtter/blob/main/LICENSE,0d96a4ff68ad6d4b6f1f30f713b18d5184912ba8dd389f86aa7710db079abcb0,False
2,3044,lopopolo/harness-engineering,Harness Engineering by Ryan Lopopolo,https://github.com/lopopolo/harness-engineering,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Guidance for shaping agent environments around organizational constraints.,团队把可靠性、权限、验证和经验沉淀为可复用工作环境。,"practices, engineering",工程方法文章，不是独立运行时；100 倍效果修辞未采信。,完整 README L10–20、33、81：环境、组织要求与许可。,2697,,,,,,,,,,False
3,3047,MetapriseAI/OrgKernel,OrgKernel,https://github.com/MetapriseAI/OrgKernel,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Agent identity, scoped execution tokens, and hash-chained audit records for governed AI tool use.",平台团队把智能体身份、单任务工具权限和执行记录接入组织工作流，追溯谁授权了什么动作。,"governance, security, agents",SSO/SAML、SCIM、策略引擎和权限图仍在路线图；不能照简介当成已支持，也不背书无法绕过宣传。,README L25-32、L54-64、框架接入 L296-321,2693,,,,,,,,,,False
4,3058,metatool-ai/metamcp,MetaMCP,https://github.com/metatool-ai/metamcp,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Aggregate MCP tools behind configurable endpoints and authentication.,团队统一工具命名空间与接入配置，使用 OIDC 和注册策略管理入口。,"mcp, integrations",开发分支需验证，部分安全/观察中间件与检索仍计划中；社区 fork 独立。,README L25–29、82–87、331、362–427：代理、SSO 与成熟度。,2678,,,,,,,,,,False
5,3102,yaojingang/yao-meta-skill,Yao Meta Skill,https://github.com/yaojingang/yao-meta-skill,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Build skill packages with contracts, evaluations, and release evidence.",团队把个人技能转成可评审资产，核对兼容、权限与发布依据。,"skills, governance",beta 待外部测试；真实提供者、盲评、权限执行与遥测证据仍分项待完成。,README L13–28、51–52：IR、Review Studio、beta 边界。,2626,,,,,,,,,,False
6,3268,DrCatHicks/learning-opportunities,Learning Opportunities,https://github.com/DrCatHicks/learning-opportunities,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Skills for deliberate learning during AI-assisted coding.,团队用项目内练习和前后测记录培养技能，帮助新成员理解代码库。,"learning, adoption",可选学习介入，不是绩效评分器；研究依据不保证单次训练效果。,README L5–9、58、131–142：练习、orientation 与团队测量。,2448,,,,,,,,,,False
7,3375,AgentsMesh/AgentsMesh,AgentsMesh,https://github.com/AgentsMesh/AgentsMesh,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Operate coding-agent workloads across machines from a shared control plane.,团队统一 runner、任务、组织成员和代理会话，协调分布式工作。,"agents, teams",BSL，README 要求生产商业许可至变更日，后转 GPL；未验证大规模运行。,README L47、61、86–98、273–278：控制层与许可。,2354,,,,,,,,,,False
8,3391,DenisSergeevitch/agents-best-practices,Agents Best Practices,https://github.com/DenisSergeevitch/agents-best-practices,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Guidance for designing and reviewing agent harnesses.,团队复用权限、观察、恢复与交付检查的架构约定。,"skills, practices",明确不替代运行时授权、沙箱和日志；未执行其自更新指令。,README L16、83、286–302：技能范围与控制面职责。,2344,,,,,,,,,,False
9,3485,agno-agi/dash,Dash by Agno,https://github.com/agno-agi/dash,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,A data agent with scoped queries and workplace chat access.,业务团队通过 Slack 问数，开发者管理身份和只读 SQL 权限。,"analytics, teams",生产需 AgentOS JWT 验证；自学习效果未测，不同于 Plotly Dash。,README L3–5、201、223、354：数据上下文和生产 RBAC。,2268,,,,,,,,,,False
10,3575,stacklok/toolhive,ToolHive,https://github.com/stacklok/toolhive,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Run and govern MCP servers with container isolation and shared registries.,平台团队集中分发工具、接入身份源、管理权限和观察日志。,"mcp, governance",身份策略需配置认证源；Stacklok Enterprise 附加能力另计，token 节省未实测。,README L17、31–35、71–99：隔离、策略与目录。,2197,,,,,,,,,,False
