rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,evidence,stars_snapshot,tested
1,6350,airbnb/chronon,Chronon,https://github.com/airbnb/chronon,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,"A data platform for batch and streaming ML features, backfills, and serving.",数据团队可统一特征定义与训练/线上一致性。,"mlops, feature-engineering, data-platform",依赖数据基础设施，正确性与性能未实测。,README组织数据、point-in-time backfill和monitoring。,1051,False
2,6386,wrtnlabs/agentica,Agentica,https://github.com/wrtnlabs/agentica,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,"A function-calling framework connecting TypeScript, OpenAPI, and MCP tools.",工程团队可复用已有API构建业务代理。,"ai-native, tool-calling, typescript",列出函数不代表自动安全正确，权限需应用控制。,README三协议、WebSocket与setup。,1044,False
3,6419,braintrustdata/autoevals,Autoevals,https://github.com/braintrustdata/autoevals,方法技能另列,主要是评测和提示优化工具，适合实践与评估栏目，不作为多人协作产品优先推荐。,"Reusable model, heuristic, and statistical scorers for AI outputs.",团队可统一质量评测并定制prompt和指标。,"evaluation, llmops, testing",得分非事实正确性保证，需业务真值。,README LLMjudge/Levenshtein/BLEU。,1037,False
4,6426,meta-llama/prompt-ops,Prompt Ops,https://github.com/meta-llama/prompt-ops,方法技能另列,主要是评测和提示优化工具，适合实践与评估栏目，不作为多人协作产品优先推荐。,A toolkit for optimizing and evaluating prompts for Llama models.,团队可用自有样本比较迁移提示和质量。,"prompt-management, evaluation, optimization",论文效果不保证业务提升，详细PDO教程仍待发布。,READMEtemplate优化、metrics与PDO。,1036,False
5,6497,monarch-initiative/ontogpt,OntoGPT,https://github.com/monarch-initiative/ontogpt,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,Ontology-grounded structured extraction using schemas and language models.,知识研究团队可标准化实体抽取并验证标识符来源。,"structured-extraction, ontology, research",存在的ID不保证匹配语义正确，未ground项明确AUTO。,README OAK校验、LinkML递归、batch和AgentSkills。,1020,False
6,6524,kaito-project/kaito,KAITO,https://github.com/kaito-project/kaito,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,"A Kubernetes operator for model inference, fine-tuning, and RAG deployment.",平台团队复用GPU资源编排和模型配置。,"kubernetes, mlops, inference",不重加依赖vLLM本体；GPU估算与模型兼容未测。,READMECRD/NAP、Karpenter和inference routing。,1014,False
7,6523,DataDog/pup,Datadog Pup,https://github.com/DataDog/pup,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,An agent-ready CLI for observability and infrastructure operations on Datadog.,运维团队可统一日志、指标、事件和oncall工具入口。,"devops, observability, agent-tools",CLI非Datadog后端，含写工具，凭据存储有文件fallback。,README结构JSON/YAML、OAuth与多产品API。,1014,False
8,6536,alumnium-hq/alumnium,Alumnium,https://github.com/alumnium-hq/alumnium,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,An AI testing library and MCP interface integrating browser and mobile automation tools.,QA团队可复用Appium/Playwright/Selenium验收流程。,"ai-native, testing, mcp",模型断言需校准，不保证测试鲁棒性。,README AI-native e2e、多语言和MCP。,1011,False
9,6540,themanojdesai/python-a2a,Python A2A,https://github.com/themanojdesai/python-a2a,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,A community Python library for agent interoperability with MCP integrations.,工程团队可连接不同代理/工具和可视化流程。,"ai-native, protocol, python",非官方A2A SDK；协议归属和fullcompat宣传不采信，版本需验证。,README A2A、registry、AgentFlowUI。,1010,False
10,6558,serverless/aws-ai-stack,AWS AI Stack,https://github.com/serverless/aws-ai-stack,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,"A serverless AI application starter with authentication, workers, and streaming chat.",团队可复用AWS事件驱动后端与部署结构。,"ai-native, aws, starter-kit",需云资源和模型额度，数据处理承诺依具体服务配置，非开箱团队RBAC。,README Lambda/Bedrock/EventBridge/DynamoDB和JWT。,1006,False
11,6569,charmbracelet/fantasy,Fantasy,https://github.com/charmbracelet/fantasy,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,A Go library for building agents with a unified multi-provider API.,Go团队可复用模型/工具抽象。,"ai-native, go, sdk",图片/音频模型/PDF尚不支持，work in progress。,READMEGo、多provider、用于Crush。,1003,False
12,6577,FalkorDB/GraphRAG-SDK,FalkorDB GraphRAG SDK,https://github.com/FalkorDB/GraphRAG-SDK,工程组件另列,主要是数据平台、SDK、运行时或测试基础设施，适合工程组件栏目，不作为即用团队产品优先推荐。,A graph-based retrieval framework with ontology and source provenance.,知识团队可检查实体来源并在证据不足时拒答。,"rag, knowledge-graph, sdk",高准确率不保证事实无误；拒答由应用接入，依FalkorDB。,README MENTIONED_IN、return_context和abstention例子。,1002,False
